Drug,%Dead,Date,shP53,shCHK2,shATR,shCHK1,shATX,shDNAPK,shBOK,shBIM
vincristine,88,11/22/2014,3.480557461,0.713395675,-0.242120904,0.982747236,0.175108951,-0.080999592,-3.833303916,0.552002948
vincristine,79,10/24/2014,1.56190801,1.107188168,0.29249666,-1.02926872,-1.841355593,0.026264015,-2.483591849,0.509088159
vincristine,84,10/5/2015,1.917010804,0.686804747,0.45673637,-0.701829732,-1.486329703,-0.415626103,-3.253141283,0.978022728
vincristine,80,10/27/2014,2.814582707,0.477936959,0.161140785,-0.365113065,-1.310921651,0,-3.14208547,0.702784839
vincristine,85,6/6/2015,0.53877777,0.196296572,0.568065012,-0.841378033,-1.918907739,-0.758828936,-3.466104213,0.701897445
vincristine,87,10/13/2014,1.913756266,0.908246627,0.479797658,-1.087707547,-1.743999186,-0.624475905,-2.125679667,0.645783708
vincristine,78,7/27/2015,1.472133476,0.635363529,1.671347175,0.311695281,-1.169710356,0.338636436,-1.136932847,0.068840944
vincristine,78,10/4/2015,2.269972178,0.898574933,0.361163966,-0.739550934,-1.652369758,-0.272050607,-3.049392166,0.940814839
vincristine,82,6/16/2015,1.440643472,1.493351375,1.207249054,0.345333431,-1.171761972,0.687642785,-1.684065598,0.56368672
vincristine,85,8/15/2012,2.004952977,0.308307735,0.400168942,-1.213413594,-2.449312369,-0.576156703,-3.203537454,0.434727136
vincristine,81,7/5/2015,2.00247673,1.426381341,0.547120674,-0.12403174,-1.270211457,0.603808869,-2.594316035,0.401184661
vincristine,77,4/25/2012,1.622186726,0.793386391,0.162392312,-0.859860728,-1.561243144,-0.302064213,-3.062854686,0.632119858
vincristine,89,6/18/2015,1.947251861,1.14307199,0.825023359,-0.615736096,-1.761913049,0.026608925,-2.607089006,0.551363974
vincristine,73,6/3/2015,0.063790012,-0.234210937,0.357620587,-0.658822616,-1.642326524,-0.400386276,-3.100662339,0.323289989
vincristine,76,9/20/2014,1.554386808,0.61886271,0.462783167,-0.500957735,-2.135818038,-0.388443328,-2.004042005,0.409329414
vincristine,76,7/18/2013,1.937101243,0.916533177,0.526987343,-0.865888506,-1.492040569,-0.427421224,-2.893084796,0.728725222
vincristine,88,3/23/2012,0.627568672,0.792761474,0.619333619,-0.866843862,-1.589038941,-0.367346851,-2.225714501,0.512078259
vincristine,89,3/25/2012,1.311246575,0.630954618,0.447904813,-0.288217057,-1.467647065,-0.604733421,-1.767367159,0.486316282
